uber_pickup_hours,uber_rides_per_hour,uber_proportion,green_taxi_pickup_hours,green_taxi_rides_per_hour,green_taxi_proportion,yellow_taxi_pickup_hours,yellow_taxi_rides_per_hour,yellow_taxi_proportion,taxi_COMBINED_rides_per_hour,taxi_COMBINED_hour_proportion,greater_hour_proportion_taxi_or_uber
12:00:00 AM,430,0.0241532326,12:00:00 AM,1920,0.04182368702,12:00:00 AM,2128,0.04382388072,4048,0.04285184989,taxi
1:00:00 AM,221,0.01241363815,1:00:00 AM,1401,0.03051822162,1:00:00 AM,1566,0.03225009267,2967,0.03140845816,taxi
2:00:00 AM,146,0.008200865023,2:00:00 AM,991,0.02158712179,2:00:00 AM,1072,0.02207669179,2063,0.02183877627,taxi
3:00:00 AM,206,0.01157108353,3:00:00 AM,642,0.01398479535,3:00:00 AM,725,0.01493059846,1367,0.01447096808,taxi
4:00:00 AM,224,0.01258214908,4:00:00 AM,571,0.01243819025,4:00:00 AM,537,0.01105893982,1108,0.01172921188,uber
5:00:00 AM,286,0.0160647082,5:00:00 AM,358,0.007798374975,5:00:00 AM,445,0.009164298365,803,0.008500502832,uber
6:00:00 AM,396,0.02224344212,6:00:00 AM,461,0.01004204152,6:00:00 AM,800,0.01647514313,1261,0.01334885937,uber
7:00:00 AM,640,0.03594899736,7:00:00 AM,815,0.01775328381,7:00:00 AM,1211,0.02493924791,2026,0.02144709681,uber
8:00:00 AM,709,0.03982474864,8:00:00 AM,1445,0.03147668112,8:00:00 AM,1894,0.03900490136,3339,0.0353464246,uber
9:00:00 AM,632,0.03549963489,9:00:00 AM,1690,0.03681355785,9:00:00 AM,2299,0.04734544256,3989,0.04222727994,taxi
10:00:00 AM,549,0.0308374993,10:00:00 AM,1689,0.03679177467,10:00:00 AM,2242,0.04617158862,3931,0.04161329593,taxi
11:00:00 AM,622,0.03493793181,11:00:00 AM,1687,0.03674820833,11:00:00 AM,2286,0.04707772149,3973,0.04205790504,taxi
12:00:00 PM,656,0.03684772229,12:00:00 PM,1593,0.03470059032,12:00:00 PM,2373,0.0488693933,3966,0.04198380353,taxi
1:00:00 PM,756,0.04246475313,1:00:00 PM,1523,0.0331757684,1:00:00 PM,2325,0.04788088472,3848,0.04073466363,uber
2:00:00 PM,868,0.04875582767,2:00:00 PM,1820,0.03964536999,2:00:00 PM,2455,0.05055809547,4275,0.0452548563,uber
3:00:00 PM,1119,0.06285457507,3:00:00 PM,2121,0.04620210425,3:00:00 PM,2263,0.04660406112,4384,0.04640872281,uber
4:00:00 PM,1256,0.07054990732,4:00:00 PM,2429,0.05291132071,4:00:00 PM,1988,0.04094073067,4417,0.04675805854,uber
5:00:00 PM,1150,0.06459585463,5:00:00 PM,2793,0.06084039471,5:00:00 PM,2403,0.04948721117,5196,0.05500449902,uber
6:00:00 PM,1326,0.07448182891,6:00:00 PM,3202,0.06974971137,6:00:00 PM,2880,0.05931051526,6082,0.06438363415,uber
7:00:00 PM,1129,0.06341627816,7:00:00 PM,3365,0.07330036814,7:00:00 PM,3115,0.06415008855,6480,0.06859683481,taxi
8:00:00 PM,1033,0.05802392855,8:00:00 PM,3325,0.07242904132,8:00:00 PM,3053,0.06287326496,6378,0.06751706981,taxi
9:00:00 PM,1131,0.06352861877,9:00:00 PM,3374,0.07349641667,9:00:00 PM,2801,0.05768359488,6175,0.06536812576,taxi
10:00:00 PM,1306,0.07335842274,10:00:00 PM,3320,0.07232012547,10:00:00 PM,2879,0.05928992133,6199,0.06562218811,uber
11:00:00 PM,1012,0.05684435208,11:00:00 PM,3372,0.07345285033,11:00:00 PM,2818,0.05803369167,6190,0.06552691473,taxi